"opportunity_number","nofo_type","opportunity_title","summary.post_date","summary.close_date","opportunity_status","all_concepts","hd_involvement","run_date"
"<a href = ""https://simpler.grants.gov/opportunity/3c467ec1-a043-43ff-82ec-9aaccaf859d1"" target = ""_blank"">RFA-MH-26-120</a>","RFA","BRAIN Initiative: Reagent Resources for Brain Cell Type-Specific Access to Broaden Distribution of Enabling Technologies for Neuroscience (U24 Clinical Trial Not Allowed)",2024-09-25,2027-06-15,"Posted","Unclassified","HD Secondary","2026-03-25"
"<a href = ""https://simpler.grants.gov/opportunity/44b3dd63-bcf2-448c-a690-77656c999cd6"" target = ""_blank"">PAR-24-301</a>","PAR","NICHD Resource Program Grants in Bioinformatics (P41 Clinical Trial Not Allowed)",2024-09-24,2027-09-25,"Posted","Developmental Biology;Pregnancy & Lactation","HD Primary","2026-03-25"
"<a href = ""https://simpler.grants.gov/opportunity/c71b1221-5eb8-41db-a81d-e995ab77a5b4"" target = ""_blank"">RFA-NS-25-017</a>","RFA","BRAIN Initiative: Optimization of Instrumentation and Device Technologies for Recording and Modulation in the Nervous System (U01 Clinical Trials Not Allowed)",2024-09-24,2026-06-16,"Posted","Unclassified","HD Secondary","2026-03-25"
"<a href = ""https://simpler.grants.gov/opportunity/d16afc44-cfa7-423b-8fcf-308e8f10d2a1"" target = ""_blank"">RFA-NS-25-018</a>","RFA","BRAIN Initiative: New Technologies and Novel Approaches for Recording and Modulation in the Nervous System (R01 Clinical Trial Not Allowed)",2024-09-24,2026-06-16,"Posted","Unclassified","HD Secondary","2026-03-25"
"<a href = ""https://simpler.grants.gov/opportunity/14a56590-38c0-4e5e-8202-117a9297aa35"" target = ""_blank"">RFA-NS-25-023</a>","RFA","HEAL Initiative: Studies to Enable Analgesic Discovery (R61/R33 - Clinical Trial Not Allowed)",2024-09-18,2027-01-15,"Posted","Unclassified","HD Secondary","2026-03-25"
"<a href = ""https://simpler.grants.gov/opportunity/002d36ed-9901-45b6-a1c4-2642dbf64146"" target = ""_blank"">RFA-OD-24-011</a>","RFA","NIH Research Software Engineer (RSE) Award (R50 Clinical Trials Not Allowed)",2024-07-17,2026-12-04,"Posted","Unclassified","HD Secondary","2026-03-25"
"<a href = ""https://simpler.grants.gov/opportunity/0a466df6-32ae-481f-866a-9b6fb30299c9"" target = ""_blank"">PA-24-253</a>","PA","Successor-in-Interest (Type 6 Parent Clinical Trial Optional)",2024-07-11,2027-07-17,"Posted","Unclassified","HD Secondary","2026-03-25"
"<a href = ""https://simpler.grants.gov/opportunity/e58d2812-d00d-46de-b4eb-97d3f215113f"" target = ""_blank"">PA-24-254</a>","PA","Change of Recipient Organization (Type 7 Parent Clinical Trial Optional)",2024-07-11,2027-07-12,"Posted","Unclassified","HD Secondary","2026-03-25"
"<a href = ""https://simpler.grants.gov/opportunity/58016469-6456-405c-b21d-838af9e3473a"" target = ""_blank"">PAR-24-214</a>","PAR","Academic Research Enhancement Award (AREA) for Undergraduate-Focused Institutions (R15 Clinical Trial Required)",2024-05-08,2027-01-07,"Posted","Unclassified","HD Secondary","2026-03-25"
"<a href = ""https://simpler.grants.gov/opportunity/09290dd8-2773-4862-9503-fd0bb88aa256"" target = ""_blank"">RFA-MH-25-110</a>","RFA","BRAIN Initiative: Data Archives for the BRAIN Initiative (R24 Clinical Trial Optional)",2024-03-19,2026-06-24,"Posted","Unclassified","HD Secondary","2026-03-25"
"<a href = ""https://simpler.grants.gov/opportunity/8473fc98-91d3-488d-9aef-458a385cc22c"" target = ""_blank"">RFA-NS-24-031</a>","RFA","BRAIN Initiative: Preclinical Proof of Concept for Novel Recording and Modulation Technologies in the Human CNS (R18 - Clinical Trial Not Allowed)",2024-03-19,2027-01-28,"Posted","Unclassified","HD Secondary","2026-03-25"
"<a href = ""https://simpler.grants.gov/opportunity/7504e83c-1dad-48aa-810a-8491e6d9fab7"" target = ""_blank"">RFA-OD-24-007</a>","RFA","INCLUDE (INvestigation of Co-occurring conditions across the Lifespan to Understand Down syndromE) Predoctoral to Postdoctoral Fellow Transition Award (F99/K00 Clinical Trial Not Allowed)",2024-02-22,2026-07-01,"Posted","Pediatrics","HD Secondary","2026-03-25"
"<a href = ""https://simpler.grants.gov/opportunity/bcea277b-9a2a-48fa-a2cb-796e56df744b"" target = ""_blank"">RFA-MH-25-105</a>","RFA","BRAIN Initiative: Production and distribution facilities for brain cell type-specific access reagents (U24 Clinical Trial Not Allowed)",2024-02-20,2026-07-01,"Posted","Unclassified","HD Secondary","2026-03-25"
"<a href = ""https://simpler.grants.gov/opportunity/dcd60db5-c3df-4965-b8dd-d0b144b3162d"" target = ""_blank"">PAR-24-081</a>","PAR","Omics Phenotypes Related to Down Syndrome for the INCLUDE Project (X01 Clinical Trial Not Allowed)",2023-12-05,2026-03-13,"Closed","Pediatrics","HD Secondary","2026-03-25"
"<a href = ""https://simpler.grants.gov/opportunity/4c2c5a17-fc4e-4833-8eeb-f59b2fdb61d0"" target = ""_blank"">PA-23-317</a>","PA","Competing Revisions to Existing NIH Single Project Research Grants and Cooperative Agreements (Clinical Trial Optional)",2023-11-24,2026-11-24,"Posted","Unclassified","HD Secondary","2026-03-25"
"<a href = ""https://simpler.grants.gov/opportunity/580664a8-167f-4b35-910d-f628be1d2f4b"" target = ""_blank"">PAR-23-166</a>","PAR","Native American Research Centers for Health (NARCH) (S06 Clinical Trial Optional)",2023-06-02,2026-08-07,"Posted","Unclassified","HD Secondary","2026-03-25"
"<a href = ""https://simpler.grants.gov/opportunity/a6dc2e28-f77c-47fa-bbf1-1e8a66c0e4f6"" target = ""_blank"">PAR-23-193</a>","PAR","Chemical Screening and Optimization Facility (X01 Clinical Trial Not Allowed)",2023-05-19,2026-04-03,"Posted","Reproductive Health","HD Primary","2026-03-25"
