"opportunity_number","nofo_type","opportunity_title","summary.post_date","summary.close_date","opportunity_status","all_concepts","run_date"
"<a href = ""https://simpler.grants.gov/opportunity/628e387b-3119-4b47-9e49-f39c70ae187b"" target = ""_blank"">NOT-AA-25-014</a>","UNK","Limited Competition for the Continuation of the National Consortium on Alcohol and Neurodevelopment in Adolescence (NCANDA) Data Analysis Resource (U24 Clinical Trials Optional)",2025-05-22,NA,"Forecasted","Pediatrics","2026-07-06"
"<a href = ""https://simpler.grants.gov/opportunity/44151ce8-0fad-4f18-84a2-c8748178958e"" target = ""_blank"">NOT-RM-25-034</a>","UNK","Genome Sequencing Center for the Gabriella Miller Kids First Pediatric Research Program (U24 Clinical Trial Not Allowed)",2025-05-14,NA,"Forecasted","Developmental Biology; Pediatrics; Pharmacology & Therapeutics","2026-07-06"
"<a href = ""https://simpler.grants.gov/opportunity/fb2c5352-295a-466a-9b53-e6a1428efcda"" target = ""_blank"">NOT-RM-25-035</a>","UNK","Continued Development of the Gabriella Miller Kids First Pediatric Data Resource Center (U2C Clinical Trials Not Allowed)",2025-05-14,NA,"Forecasted","Developmental Biology; Pediatrics","2026-07-06"
"<a href = ""https://simpler.grants.gov/opportunity/55758ad7-4d40-42e0-b87e-ad97273cc2ab"" target = ""_blank"">NOT-RM-25-036</a>","UNK","Gabriella Miller Kids First Training and Outreach Core (U24 Clinical Trials Not Allowed)",2025-05-14,NA,"Forecasted","Developmental Biology; Pediatrics","2026-07-06"
"<a href = ""https://simpler.grants.gov/opportunity/49a6de08-2356-43b3-af61-6116b229acd8"" target = ""_blank"">NOT-AA-25-012</a>","UNK","Forecast to Publish a Funding Opportunity Announcement for Limited Competition for the Continuation of the National Consortium on Alcohol and Neurodevelopment in Adolescence (NCANDA) Research Project Sites (U01 Clinical Trials Optional)",2025-05-13,NA,"Forecasted","Pediatrics","2026-07-06"
"<a href = ""https://simpler.grants.gov/opportunity/bbf0a18c-1e2f-45ef-acd6-980df3828974"" target = ""_blank"">FOR-MD-25-002</a>","UNK","Forecast to Renew the Notice of Funding Opportunity Announcement for the Multiple Chronic Disease Research Centers",2025-05-12,NA,"Forecasted","Pediatrics","2026-07-06"
"<a href = ""https://simpler.grants.gov/opportunity/34dd63c9-1540-4fb4-8e51-27adafcd5428"" target = ""_blank"">PAR-25-325</a>","PAR","Integrating Biospecimen Science Approaches into Clinical Assay Development (U01 Clinical Trial Not Allowed)",2024-12-13,2027-09-10,"Posted","Pregnancy & Lactation","2026-07-06"
"<a href = ""https://simpler.grants.gov/opportunity/4dc45e27-8d07-4a99-8eb7-4881330a4355"" target = ""_blank"">PAR-25-025</a>","PAR","NHLBI Early Phase Clinical Trials for Therapeutics and/or Diagnostics for HLBS Disorders (R33 CT Required)",2024-12-05,2027-01-07,"Posted","Pediatrics; Pharmacology & Therapeutics","2026-07-06"
"<a href = ""https://simpler.grants.gov/opportunity/ea08dd4a-1438-4a0b-a57b-8a393187a141"" target = ""_blank"">PAR-25-026</a>","PAR","NHLBI Early Phase Clinical Trials for Therapeutics and/or Diagnostics for HLBS Disorders (R61/R33 Clinical Trial Required)",2024-12-05,2027-01-07,"Posted","Pediatrics; Pharmacology & Therapeutics","2026-07-06"
"<a href = ""https://simpler.grants.gov/opportunity/b8957faa-5824-4b59-b18f-3b4a69501121"" target = ""_blank"">PAR-25-310</a>","PAR","Accelerating Solutions to Improve Access and Quality of Empirically-Supported Practices for Youth Mental Health (R01 Clinical Trial Optional)",2024-12-03,2027-01-07,"Posted","Pediatrics","2026-07-06"
